Journey_ID,Trip_ID,President,Origin_Country,Trip_Status,Start_Date,End_Date,Duration_Days,Destination_Country,Destination_Region,Destination_City,Visit_Category,Visit_Subtype,Sideline_Bilaterals,Counterpart_Event,Counterpart_Type,Trip_Objective,Source_Verification,Source_Reliability,Methodological_Notes,Tema_Foro,Verificacion_Status,MetHostHOGS,MetNonHostHOGS,NonHostHOGS_Name,PublicAddress,SignedAgreement,CulturalSiteOrCeremony,BusinessLeaderOrForum,MetIGOLeader,IGOLeader_Name
URU-JB-J001,1,Jorge Batlle,Uruguay,Completed,2000-06-30,2000-06-30,1,Argentina,South America,Buenos Aires,Multilateral,Regional Summit,NA,Cumbre del MERCOSUR,NA,Cumbre semestral del MERCOSUR; defendio el ingreso de Chile.,https://www.cidob.org/lider-politico/jorge-luis-batlle-ibanez,High,Duracion estimada 1 dia.,Comercio/Integración Económica,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
URU-JB-J002,2,Jorge Batlle,Uruguay,Completed,2000-08-31,2000-09-01,2,Brazil,South America,Brasília,Multilateral,Regional Summit,NA,I Reunion de Presidentes de America del Sur,NA,Primera cumbre sudamericana; Comunicado de Brasilia (IIRSA).,http://integracionsur.com/wp-content/uploads/2016/11/CumbreSudamericanaBrasilia2000.pdf,High,NA,Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
URU-JB-J003,3,Jorge Batlle,Uruguay,Completed,2000-09-06,2000-09-08,3,United States,North America,New York,Multilateral,Global Forum,NA,Cumbre del Milenio / 55º AGNU,NA,Intervencion presidencial en la Cumbre del Milenio (8-sep-2000).,http://undocs.org/en/A/55/PV.7,High,Fechas cubren la Cumbre del Milenio 6-8 sep.,Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
URU-JB-J004,4,Jorge Batlle,Uruguay,Completed,2001-04-20,2001-04-22,3,Canada,North America,Quebec City,Multilateral,Regional Summit,NA,III Cumbre de las Américas,NA,"III Cumbre de las Americas (Carta Democratica, ALCA).",https://summit-americas.org/sas/Cumbres_previas_IIICumbre.html,High,NA,Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
URU-JB-J005,5,Jorge Batlle,Uruguay,Completed,2001-11-08,2001-11-10,3,United States,North America,New York,Multilateral,Global Forum,NA,56º período AGNU,NA,Intervencion presidencial en el debate general (10-nov-2001); venia art.170 del 8-nov.,https://uy.vlex.com/vid/gobiernos-departamentales-organismos-prestacion-899401057,High,Debate pospuesto a noviembre por los atentados del 11-S.,Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
URU-JB-J006,6,Jorge Batlle,Uruguay,Completed,2002-02-11,2002-02-16,6,United States,North America,Washington DC,Bilateral,Working Visit,NA,Gobierno de EEUU (administracion Bush),Jefe de Estado/Gobierno,Visita de trabajo oficial a EEUU; venia art.170 a partir del 10-feb-2002.,https://history.state.gov/departmenthistory/visits/uruguay,High,NA,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
URU-JB-J007,7,Jorge Batlle,Uruguay,Completed,2002-02-18,2002-02-18,1,Argentina,South America,Buenos Aires,Multilateral,Regional Summit,TRUE,Cumbre informal del MERCOSUR,NA,Cumbre presidencial del MERCOSUR; transmitio a Duhalde mensajes de Bush y del FMI.,http://archivo.presidencia.gub.uy/noticias/archivo/2002/febrero/2002021916.htm,Medium,Fecha estimada; comunicado presidencial del 19-feb-2002.,Comercio/Integración Económica,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
URU-JB-J008,8,Jorge Batlle,Uruguay,Completed,2002-06-04,2002-06-04,1,Argentina,South America,Buenos Aires,Bilateral,Working Visit,NA,Presidente Eduardo Duhalde,Jefe de Estado/Gobierno,Disculpas en Olivos tras la entrevista con Bloomberg TV difundida el 3-jun-2002 (frase 'manga de ladrones').,https://www.pagina12.com.ar/diario/elpais/1-5946-2002-06-05.html,Medium,Fecha citada por prensa; venia no localizada.,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
URU-JB-J009,9,Jorge Batlle,Uruguay,Canceled,2002-07-26,NA,NA,Ecuador,South America,Guayaquil,Multilateral,Regional Summit,NA,II Cumbre Sudamericana,NA,Cumbre sudamericana; CANCELADA por la crisis financiera; asistio el vicepresidente Hierro Lopez.,https://www.cidob.org/lider-politico/jorge-luis-batlle-ibanez,High,Feriado bancario decretado el 30-jul-2002.,Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
URU-JB-J010,10,Jorge Batlle,Uruguay,Completed,2002-12-05,2002-12-06,2,Brazil,South America,Brasília,Multilateral,Regional Summit,NA,Cumbre del MERCOSUR de Brasilia,NA,Cumbre semestral del MERCOSUR.,http://archivo.presidencia.gub.uy/noticias/archivo/2002/noviembre/2002112105.htm,High,Asistencia presidencial no confirmada nominalmente (candidata a PENDIENTES).,Comercio/Integración Económica,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
URU-JB-J011,11,Jorge Batlle,Uruguay,Completed,2003-04-23,2003-04-23,1,United States,North America,Washington DC,Bilateral,Working Visit,NA,Presidente George W. Bush (Casa Blanca),Jefe de Estado/Gobierno,Visita de trabajo a la Casa Blanca un mes tras el inicio de la guerra de Irak.,https://history.state.gov/departmenthistory/visits/uruguay,High,NA,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
