"Pais_ES","Visit_Category","n","participacion"
"Argentina","Bilateral",205,0.429769392033543
"Argentina","Multilateral",197,0.412997903563941
"Argentina","Other",75,0.157232704402516
"Bolivia","Bilateral",109,0.257075471698113
"Bolivia","Multilateral",212,0.5
"Bolivia","Other",103,0.242924528301887
"Brasil","Bilateral",301,0.487844408427877
"Brasil","Multilateral",258,0.418152350081037
"Brasil","Other",58,0.0940032414910859
"Chile","Bilateral",242,0.48207171314741
"Chile","Multilateral",213,0.424302788844622
"Chile","Other",46,0.0916334661354582
"Chile","Sin dato",1,0.00199203187250996
"Colombia","Bilateral",220,0.449897750511247
"Colombia","Multilateral",203,0.415132924335378
"Colombia","Other",66,0.134969325153374
"Ecuador","Bilateral",125,0.292056074766355
"Ecuador","Multilateral",185,0.432242990654206
"Ecuador","Other",118,0.275700934579439
"Guyana","Bilateral",58,0.184126984126984
"Guyana","Multilateral",185,0.587301587301587
"Guyana","Other",72,0.228571428571429
"Paraguay","Bilateral",133,0.312941176470588
"Paraguay","Multilateral",189,0.444705882352941
"Paraguay","Other",89,0.209411764705882
"Paraguay","Sin dato",14,0.0329411764705882
"Peru","Bilateral",138,0.432601880877743
"Peru","Multilateral",135,0.423197492163009
"Peru","Other",46,0.144200626959248
"Surinam","Bilateral",18,0.127659574468085
"Surinam","Multilateral",105,0.74468085106383
"Surinam","Other",18,0.127659574468085
"Uruguay","Bilateral",118,0.352238805970149
"Uruguay","Multilateral",136,0.405970149253731
"Uruguay","Other",67,0.2
"Uruguay","Sin dato",14,0.0417910447761194
"Venezuela","Bilateral",273,0.552631578947368
"Venezuela","Multilateral",145,0.293522267206478
"Venezuela","Other",76,0.153846153846154
